Jacobs Engineering Group;1111 S. Arroyo Pkwy.;Pasadena;CA;91105;626-578-3500;http://www.jacobs.com;contactus@jacobs.com;Craig L. Martin;None
NBTY;90 Orville Dr.;Bohemia;NY;11716;631-567-9500;http://www.nbty.com;info@amstock.com;Scott Rudolph;None
Health Management Associates;5811 Pelican Bay Blvd.;Naples;FL;34108;239-598-3131;http://www.hma.com;info@hma.com;Burke W. Whitman;None
Ryland Group;24025 Park Sorrento;Calabasas;CA;91302;818-223-7500;http://www.ryland.com;jgrovert@ryland.com;R. Chad Dreier;None
Old Republic International;307 N. Michigan Ave.;Chicago;IL;60601;312-346-8100;http://www.oldrepublic.com;service@ReliableLifeInsurance.com;Aldo C. Zucaro;None
Beckman Coulter;4300 N. Harbor Blvd.;Fullerton;CA;92835;714-871-4848;http://www.beckmancoulter.com;hematology@beckmancoulter.com;Scott Garrett;None
Stewart Information Services;1980 Post Oak Blvd.;Houston;TX;77056;713-625-8100;http://www.stewart.com;customerservice@stewart.com;None;None
Burlington Coat Factory;1830 Route 130 N.;Burlington;NJ;8016;609-387-7800;http://www.burlingtoncoatfactory.com;hr.support@coat.com;Mark A. Nesci;None
Snap-On;2801 80th St.;Kenosha;WI;53143;262-656-5200;http://www.snapon.com;contract.sales@snapon.com;Nicholas T. Pinchuk;None
Brightpoint;2601 Metropolis Parkway;Avon;IN;46168;317-707-2355;http://www.brightpoint.com;info@brightpoint.com;Robert J. Laikin;None
Owens-Illinois;1 Michael Owens Way;Perrysburg;OH;43551;567-336-5000;http://www.o-i.com;glass@o-i.com;Albert P.L. Stroucken;None
CMS Energy;1 Energy Plaza;Jackson;MI;49201;517-788-0550;http://www.cmsenergy.com;info@cmsenergy.com;David W. Joos;None
EOG Resources;1111 Bagby;Houston;TX;77002;713-651-7000;http://www.eogresources.com;info@eogresources.com;Mark G. Papa;mark_papa@eogresources.com
Kimberly-Clark;351 Phelps Dr.;Irving;TX;75038;972-281-1200;http://www.kimberly-clark.com;None;Thomas J. Falk;thomas.j.falk@kcc.com
Gilead Sciences;333 Lakeside Dr.;Foster City;CA;94404;650-574-3000;http://www.gilead.com;public_affairs@gilead.com;John C. Martin, Ph.D.;john.martin@gilead.com
CBRL Group;305 Hartmann Dr.;Lebanon;TN;37088;615-443-5533;http://www.cbrlgroup.com;fastmail@crackerbarrel.com;Michael A. Woodhouse;None
Belk;2801 W. Tyvola Rd.;Charlotte;NC;28217;704-357-1000;http://www.belk.com;suzanne_mcinturff@belk.com;Thomas M. Belk Jr.;None
Mylan;1500 Corporate Dr.;Mc Murray;PA;15317;724-514-1800;http://www.mylan.com;mylan@mylan.com;Robert J. Coury;None
Molson Coors Brewing;1225 17th St.;Denver;CO;80202;303-277-6661;http://www.molsoncoors.com;corporate.responsibility@molsoncoors.com;W. Leo Kiely III;leo.kiely@coors.com
Brown-Forman;850 Dixie Hwy.;Louisville;KY;40210;502-585-1100;http://www.brown-forman.com;Brown-Forman@b-f.com;Paul C. Varga;None
CIT Group;505 Fifth Ave.;New York;NY;10017;212-771-0505;http://www.cit.com;customerservice@xlservicing.com;Jeffrey M. Peek;None
Nasdaq OMX Group;1 Liberty Plaza;New York;NY;10006;212-401-8700;http://www.nasdaq.com;marketsite.events@nasdaq.com;Robert Greifeld;None
FedEx;942 S. Shady Grove Rd.;Memphis;TN;38120;901-818-7500;http://www.fedex.com;inquiry@fedex.com;Frederick W. Smith;None
Questar;180 E. 100 South St.;Salt Lake City;UT;84145;801-324-5000;http://www.questar.com;conserv@questar.com;Keith O. Rattie;None
DST Systems;333 W. 11th St.;Kansas City;MO;64105;816-435-1000;http://www.dstsystems.com;ir@dstsystems.com;Thomas A. McDonnell;None
Calpine;50 W. San Fernando St.;San Jose;CA;95113;408-995-5115;http://www.calpine.com;CalpineWeb@calpine.com;Robert P. May;None
Expedia;3150 139th Ave. SE;Bellevue;WA;98005;425-679-7200;http://www.expediainc.com;mktgopp@expedia.com;Dara Khosrowshahi;None
La-Z-Boy;1284 N. Telegraph Rd.;Monroe;MI;48162;734-242-1444;http://www.la-z-boy.com;info@lazboy.com;Kurt L. Darrow;None
Computer Sciences;3170 Fairview Park Dr.;Mosby;VA;22042;703-876-1000;http://www.csc.com;jleiter@csc.com;Michael W. Laphen;mlaphen@csc.com
ProLogis;4545 Airport Way;Denver;CO;80239;303-567-5000;http://www.prologis.com;info@prologis.com;Jeffrey H. Schwartz;None
Spherion;2050 Spectrum Blvd.;Fort Lauderdale;FL;33309;954-308-7600;http://www.spherion.com;help@spherion.com;Roy G. Krause;None
Motorola;1303 E. Algonquin Rd.;Schaumburg;IL;60196;847-576-5000;http://www.motorola.com;custhelp@motorola.com;Gregory Q. Brown;None
Regal-Beloit;200 State St.;Shopiere;WI;53511;608-364-8800;http://www.regalbeloit.com;None;Henry W. Knueppel;None
Aon;200 E. Randolph St.;Chicago;IL;60601;312-381-1000;http://www.aon.com;suzzanne_ryan@ars.aon.com;Gregory C. Case;gregory_case@aon.com
Nicor;1844 Ferry Rd.;Naperville;IL;60563;630-305-9500;http://www.nicor.com;customercare@nicor.com;Russ M. Strobel;rstrobe@nicor.com
D.R. Horton;301 Commerce St.;Fort Worth;TX;76102;817-390-8200;http://www.drhorton.com;lbaptiste@drhorton.com;Donald J. Tomnitz;None
Qualcomm;5775 Morehouse Dr.;San Diego;CA;92121;858-587-1121;http://www.qualcomm.com;qu@qualcomm.com;Paul E. Jacobs;None
Zale;901 W. Walnut Hill Lane;Irving;TX;75038;972-580-4000;http://www.zalecorp.com;CustomerService@zales.com;Neal Goldberg;None
Hovnanian Enterprises;110 W. Front St.;Suburban;NJ;7701;732-747-7800;http://www.khov.com;ahovnanian@khov.com;Ara K. Hovnanian;None
PNC Financial Services Group;249 Fifth Ave.;Downtown;PA;15222;412-762-2000;http://www.pnc.com;customerservice@pnc.com;James E. Rohr;james.rohr@pnc.com
Hanesbrands;1000 E. Hanes Mill Rd.;Winston Salem;NC;27105;336-519-4400;http://www.hanesbrands.com;None;Richard A. Noll;None
Anheuser-Busch;1 Busch Place;Saint Louis;MO;63118;314-577-2000;http://www.anheuser-busch.com;None;August A. Busch IV;None
eBay;2145 Hamilton Ave.;San Jose;CA;95125;408-376-7400;http://www.ebay.com;cswebhelp@ebay.com;John Donahoe;None
Eli Lilly;Lilly Corporate Center;Indianapolis;IN;46285;317-276-2000;http://www.lilly.com;None;John C. Lechleiter;jlechleiter@lilly.com
Valero Energy;1 Valero Way;San Antonio;TX;78249;210-345-2000;http://www.valero.com;customer.relations@valero.com;William R. Klesse;None
Charming Shoppes;450 Winks Lane;Bensalem;PA;19020;215-245-9100;http://www.charmingshoppes.com;cscsutomerservice@charmingshoppes.com;Dorrit J. Bern;None
Piedmont Natural Gas;4720 Piedmont Row Dr.;Charlotte;NC;28210;704-364-3120;http://www.piedmontng.com;customerselfservice@piedmontng.com;Thomas E. Skains;None
Sun Microsystems;4150 Network Circle;Santa Clara;CA;95054;650-960-1300;http://www.sun.com;None;Jonathan I. Schwartz;None
Advance Auto Parts;5008 Airport Rd.;Roanoke;VA;24012;540-362-4911;http://www.advanceautoparts.com;cccsupport@advance-auto.com;Darren R. Jackson;darren.jackson@advanceautoparts.com
SAIC;10260 Campus Point Dr.;San Diego;CA;92121;858-826-6000;http://www.saic.com;laura.luke@saic.com;Kenneth C. Dahlberg;None
Raymond James Financial;880 Carillon Pkwy.;Saint Petersburg;FL;33716;727-567-1000;http://www.rjf.com;None;Thomas A. James;None
Alaska Air Group;19300 International Blvd.;Tukwila;WA;98188;206-392-5040;http://www.alaskaair.com;Reservations@alaskaair.com;William S. Ayer;william.ayer@alaskaair.com
Martin Marietta Materials;2710 Wycliff Rd.;Raleigh;NC;27607;919-781-4550;http://www.martinmarietta.com;fgd@martinmarietta.com;Stephen P. Zelnak Jr.;None
Stryker;2825 Airview Blvd.;Kalamazoo;MI;49002;269-385-2600;http://www.stryker.com;Imaging-Support@stryker.com;Stephen P. MacMillan;None
Meredith;1716 Locust St.;Des Moines;IA;50309;515-284-3000;http://www.meredith.com;shareholderhelp@meredith.com;Stephen M. Lacy;steve.lacy@meredith.com
Kla-Tencor;160 Rio Robles;San Jose;CA;95134;408-875-3000;http://www.kla-tencor.com;info@kla-tencor.com;Richard P. Wallace;None
Baker Hughes;2929 Allen Pkwy.;Houston;TX;77019;713-439-8600;http://www.bakerhughes.com;geothermal@bakerhughes.com;Chad C. Deaton;chad.deaton@bakerhughes.com
Manitowoc;2400 S. 44th St.;Manitowoc;WI;54221;920-684-4410;http://www.manitowoc.com;info@manitowoc.com;Glen E. Tellock;None
PolyOne;33587 Walker Rd.;Avon Lake;OH;44012;440-930-1000;http://www.polyone.com;Rodney.Barber@PolyOne.com;Stephen D. Newlin;None
Oracle;500 Oracle Pkwy.;Redwood City;CA;94065;650-506-7000;http://www.oracle.com;oracleusergroup_ww@oracle.com;Lawrence J. Ellison;larry.ellison@oracle.com
Biomet;56 E. Bell Dr.;Warsaw;IN;46582;574-267-6639;http://www.biomet.com;bergares@biomet.com;Jeffrey R. Binder;None
Furniture Brands International;101 S. Hanley Rd.;Clayton;MO;63105;314-863-1100;http://www.furniturebrands.com;jbotsford@furniturebrands.com;Ralph P. Scozzafava;None
Abercrombie & Fitch;6301 Fitch Path;New Albany;OH;43054;614-283-6500;http://www.abercrombie.com;info@abercrombie.com;Michael S. Jeffries;mike_jeffries@abercrombie.com
Health Net;21650 Oxnard St.;Woodland Hills;CA;91367;818-676-6000;http://www.healthnet.com;netsoft@health.net;Jay M. Gellert;None
Berkshire Hathaway;1440 Kiewit Plaza;Omaha;NE;68131;402-346-1400;http://www.berkshirehathaway.com;berkshire@berkshirehathaway.com;Warren E. Buffett;None
Tractor Supply;200 Powell Place;Brentwood;TN;37027;615-440-4000;http://www.tractorsupply.com;None;James F. Wright;None
Westlake Chemical;2801 Post Oak Blvd.;Houston;TX;77056;713-960-9111;http://www.westlake.com;mediarelations@westlake.com;Albert Chao;None
Citizens Communications;3 High Ridge Park;Ridgeway;CT;6905;203-614-5600;http://www.czn.net;Citizens@czn.com;Mary Agnes Wilderotter;None
Avon Products;1345 Sixth Ave.;New York;NY;10105;212-282-5000;http://www.avoncompany.com;avon.websites@avon.com;Andrea Jung;Andrea.Jung@Avon.com
Potlatch;601 W. First Ave.;Spokane;WA;99201;509-835-1500;http://www.potlatchcorp.com;None;Michael J. Covey;None
Ralcorp Holdings;800 Market St.;Saint Louis;MO;63101;314-877-7000;http://www.ralcorp.com;ralcorpwebpage@ralcorp.com;None;None
International Business Machines;1 New Orchard Rd.;Armonk;NY;10504;914-499-1900;http://www.ibm.com;ews@us.ibm.com;Samuel J. Palmisano;None
Fortune Brands;520 Lake Cook Rd.;Deerfield;IL;60015;847-484-4400;http://www.fortunebrands.com;mail@fortunebrands.com;Bruce A. Carbonari;None
Telephone & Data Systems;30 N. LaSalle St.;Chicago;IL;60602;312-630-1900;http://www.teldta.com;TDSinfo@teldta.com;LeRoy T. Carlson Jr.;None
First Data;6200 S. Quebec St.;Cherry Hills Vil;CO;80111;303-967-8000;http://www.firstdatacorp.com;fdc.ir@firstdata.com;Michael Capellas;None
Mercury General;4484 Wilshire Blvd.;Los Angeles;CA;90010;323-937-1060;http://www.mercuryinsurance.com;pnelson@mercuryinsurance.com;Gabriel Tirador;None
Consolidated Edison;4 Irving Place;New York;NY;10003;212-460-4600;http://www.conedison.com;customerservice@coned.com;Kevin Burke;None
Public Service Enterprise Group;80 Park Plaza;Newark;NJ;7102;973-430-7000;http://www.pseg.com;roben.rasheed-hernandez@pseg.com;Ralph Izzo;rizzo@pseg.com
Sauer-Danfoss;250 Parkway Dr.;Prairie View;IL;60069;515-239-6000;http://www.sauer-danfoss.com;corpbrochure@sauer-danfoss.com;David J. Anderson;david.a@sauer-danfoss.com
Tribune;435 N. Michigan Ave.;Chicago;IL;60611;312-222-9100;http://www.tribune.com;corp.info@tribune.com;Samuel Zell;None
SkyWest;444 S. River Rd.;St. George;UT;84790;435-634-3000;http://www.skywest.com;info@skywest.com;Jerry C. Atkin;None
Travelers Cos.;385 Washington St.;Saint Paul;MN;55102;651-310-7911;http://www.travelers.com;None;Jay S. Fishman;None
Flowserve;5215 N. O'Connor Blvd.;Irving;TX;75039;972-443-6500;http://www.flowserve.com;intercom@flowserve.com;Lewis M. Kling;None
RadioShack;300 RadioShack Circle;Fort Worth;TX;76102;817-415-3011;http://www.radioshackcorporation.com;RadioShack.Customer.Care@RadioShack.com;Julian C. Day;None
Hercules;1313 N. Market St.;Wilmington;DE;19894;302-594-5000;http://www.herc.com;crogerson@herc.com;Craig A. Rogerson;crogerson@herc.com
Sierra Health Services;2724 N. Tenaya Way;Las Vegas;NV;89128;702-242-7000;http://www.sierrahealth.com;w3_hpnsd_shl@sierrahealth.com;Stephen J. Hemsley;None
Ashland;50 E. RiverCenter Blvd.;Covington;KY;41012;859-815-3333;http://www.ashland.com;info@ashland.com;James J. O'Brien Jr.;None
Arrow Electronics;50 Marcus Dr.;Melville;NY;11747;631-847-2000;http://www.arrow.com;feedback@arrow.com;William E. Mitchell;william.mitchell@arrow.com
Penske Automotive Group;2555 Telegraph Rd.;Bloomfield Towns;MI;48302;248-648-2500;http://www.penskeautomotive.com;info@penskeautomotive.com;Roger S. Penske;None
Commerce Group;211 Main St.;Dudley Hill;MA;1570;508-943-9000;http://www.commerceinsurance.com;Generalcomments@Commerceinsurance.com;Gerald Fels;None
Wesco International;225 West Station Square Dr.;Uptown;PA;15219;412-454-2200;http://www.wesco.com;ewells@wesco.com;Roy W. Haley;None
McKesson;1 Post St.;San Francisco;CA;94104;415-983-8300;http://www.mckesson.com;MHS@mckesson.com;John H. Hammergren;john.hammergren@mckesson.com
PPG Industries;1 PPG Place;Pittsburgh;PA;15272;412-434-3131;http://www.ppg.com;corporateinfo@ppg.com;Charles E. Bunch;None
Pacer International;2300 Clayton Rd.;Concord;CA;94520;925-887-1400;http://www.pacer-international.com;info@pacer.com;Michael E. Uremovich;None
Olin;190 Carondelet Plaza;Clayton;MO;63105;314-480-1400;http://www.olin.com;olincorpinfo@olin.com;Joseph D. Rupp;None
Baxter International;1 Baxter Pkwy.;Deerfield;IL;60015;847-948-2000;http://www.baxter.com;fdninfo@baxter.com;Robert L. Parkinson Jr.;None
Liberty Mutual Insurance Group;175 Berkeley St.;Boston;MA;2116;617-357-9500;http://www.libertymutual.com;PresidentialSvcTeam@libertymutual.com;Edmund F. Kelly;None
SunTrust Banks;303 Peachtree St. N.E.;Atlanta;GA;30308;404-588-7711;http://www.suntrust.com;info@suntrust.com;James M. Wells III;None
CVR Energy;2277 Plaza Dr.;Sugar Land;TX;77479;281-207-3200;http://www.cvrenergy.com;info@cvrenergy.com;John J. Lipinski;None
Markel;4521 Highwoods Pkwy.;Glen Allen;VA;23060;804-747-0136;http://www.markelcorp.com;information@markelcorp.com;Alan I. Kirshner;akirshner@markelcorp.com
ExpressJet Holdings;700 N. Sam Houston Pkwy. W.;Houston;TX;77067;832-353-1000;http://www.expressjet.com;customerrelations@expressjet.com;James B. Ream;None
StanCorp Financial;1100 SW Sixth Ave.;Portland;OR;97204;971-321-7000;http://www.stancorpfinancial.com;jdelaney@standard.com;Eric E. Parsons;None
MDC Holdings;4350 S. Monaco St.;Denver;CO;80237;303-773-1100;http://www.richmondamerican.com;communications@mdch.com;Larry A. Mizel;None
Wisconsin Energy;231 W. Michigan St.;Milwaukee;WI;53203;414-221-2345;http://www.wisconsinenergy.com;customerserv@edisonsault.com;Gale E. Klappa;None
International Paper;6400 Poplar Ave.;Memphis;TN;38197;901-419-7000;http://www.internationalpaper.com;None;John V. Faraci;None
Kellogg;1 Kellogg Square;Battle Creek;MI;49016;269-961-2000;http://www.kelloggcompany.com;carol.ebanks@kellogg.com;A.D. David Mackay;None
Progress Energy;410 S. Wilmington St.;Raleigh;NC;27601;919-546-6111;http://www.progress-energy.com;beverly.cummings@pgnmail.com;William D. Johnson;None
Delphi;5725 Delphi Dr.;Troy;MI;48098;248-813-2000;http://www.delphi.com;None;Rodney O'Neal;rodney.oneal@delphi.com
Goodyear Tire & Rubber;1144 E. Market St.;Akron;OH;44316;330-796-2121;http://www.goodyear.com;goodyearep@digiknow.com;Robert J. Keegan;robert.keegan@goodyear.com
Embarq;5454 W. 110th St.;Leawood;KS;66211;913-323-4637;http://www.embarq.com;customerservice@embarq.com;Thomas A. Gerke;tom.gerke@embarq.com
Dollar Tree;500 Volvo Parkway;Chesapeake;VA;23320;757-321-5000;http://www.dollartree.com;info@dollartree.com;Robert Sasser;None
Allegheny Technologies;1000 Six PPG Place;Downtown;PA;15222;412-394-2800;http://www.alleghenytechnologies.com;info@alleghenytechnologies.com;L. Patrick Hassey;None
Ameriprise Financial;55 Ameriprise Financial Center;Minneapolis;MN;55474;612-671-3131;http://www.ameriprise.com;sales@ameriprise.com;James M. Cracchiolo;None
NSTAR;800 Boylston St.;Boston;MA;2199;617-424-2000;http://www.nstaronline.com;customer.service@nstar.com;Thomas J. May;None
Charles Schwab;120 Kearny St.;San Francisco;CA;94108;415-636-7000;http://www.aboutschwab.com;public.relations@schwab.com;Charles R. Schwab;None
PC Connection;730 Milford Rd.;Merrimack;NH;3054;603-683-2000;http://www.pcconnection.com;customerservice@pcconnection.com;Patricia Gallup;None
3M;3M Center;St. Paul;MN;55144;651-733-1110;http://www.3m.com;info@3m.com;George W. Buckley;gwbuckley@mmm.com
Boeing;100 N. Riverside Plaza;Chicago;IL;60606;312-544-2000;http://www.boeing.com;wwwmail.boeing2@boeing.com;W. James McNerney Jr.;jim.mcnerney@boeing.com
Vornado Realty Trust;888 Seventh Ave.;New York;NY;10019;212-894-7000;http://www.vno.com;jlutzius@GreenStreetAdvisors.com;Steven Roth;None
Johnson & Johnson;"1 Johnson &amp; Johnson Plaza";New Brunswick;NJ;8933;732-524-0400;http://www.jnj.com;jnj-admin@corus.jnj.com;William C. Weldon;wweldon@jnj.com
AMC Entertainment;920 Main St.;Kansas City;MO;64105;816-221-4000;http://www.amctheatres.com;CustomerService@MovieTickets.com;Peter C. Brown;None
Henry Schein;135 Duryea Rd.;Melville;NY;11747;631-843-5500;http://www.henryschein.com;dentsls@henryschein.com;Stanley M. Bergman;None
Hertz Global Holdings;225 Brae Blvd.;Park Ridge;NJ;7656;201-307-2000;http://www.hertz.com;gold_service_uk@hertz.com;Mark P. Frissora;Mark.Frissora@hertz.com
Wm. Wrigley Jr.;410 N. Michigan Ave.;Chicago;IL;60611;312-644-2121;http://www.wrigley.com;drp@wrigley.com;William D. Perez;None
Lubrizol;29400 Lakeland Blvd.;Wickliffe;OH;44092;440-943-4200;http://www.lubrizol.com;None;James L. Hambrick;jlh@lubrizol.com
Big Lots;300 Phillipi Rd.;Lincoln Village;OH;43228;614-278-6800;http://www.biglots.com;TALK2US@BIGLOTS.COM;Steven S. Fishman;None
Borders Group;100 Phoenix Dr.;Ann Arbor;MI;48108;734-477-1100;http://www.bordersgroupinc.com;ccare@bordersstores.com;George L. Jones;None
United Technologies;1 Financial Plaza;Hartford;CT;6103;860-728-7000;http://www.utc.com;stockoptionplans@utc.com;"Louis Ch&ecirc;nevert";None
Yahoo;701 First Ave.;Sunnyvale;CA;94089;408-349-3300;http://www.yahoo.com;service@yahoo.com;Jerry Yang;None
Clorox;1221 Broadway;Oakland;CA;94612;510-271-7000;http://www.thecloroxcompany.com;None;Donald R. Knauss;don.knauss@clorox.com
Whole Foods Market;550 Bowie St.;Austin;TX;78703;512-477-4455;http://www.wholefoodsmarket.com;Kate.Lowery@wholefoods.com;John P. Mackey;None
U.S. Bancorp;800 Nicollet Mall;Minneapolis;MN;55402;651-466-3000;http://www.usbank.com;1800usbanks@usbank.com;Richard K. Davis;None
Commerce Bancorp;1701 Rt. 70 E.;Cherry Hill;NJ;8034;856-751-9000;http://www.commerceonline.com;corpcard.sales@commercebank.com;Bharat B. Masrani;None
Shaw Group;4171 Essen Lane;Baton Rouge;LA;70809;225-932-2500;http://www.shawgrp.com;Energy@shawgrp.com;James M. Bernhard Jr.;None
Vulcan Materials;1200 Urban Center Dr.;Shoal Creek;AL;35242;205-298-3000;http://www.vulcanmaterials.com;community@vmcmail.com;Donald M. James;None
Vanguard Health Systems;20 Burton Hills Blvd.;Nashville;TN;37215;615-665-6000;http://www.vanguardhealth.com;abroad@vanguardhealth.com;Charles N. Martin Jr.;None
Estee Lauder;767 Fifth Ave.;New York;NY;10153;212-572-4200;http://www.elcompanies.com;consumercommunications-elc@estee.com;William P. Lauder;None
Johnson Controls;5757 N. Green Bay Ave.;Milwaukee;WI;53201;414-524-1200;http://www.johnsoncontrols.com;info@johnsoncontrols.com;Stephen A. Roell;None
Dresser-Rand Group;1200 W. Sam Houston Pkwy. N.;Houston;TX;77043;713-467-2221;http://www.dresser-rand.com;info@dresser-rand.com;Vincent R. Volpe Jr.;None
Spectra Energy;5400 Westheimer Court;Houston;TX;77056;713-627-5400;http://www.spectraenergy.com;IR-SEP@spectraenergy.com;Fred J. Fowler;None
Oshkosh;2307 Oregon St.;Oshkosh;WI;54902;920-235-9151;http://www.oshkoshcorporation.com;tcihowiak@oshtruck.com;Robert G. Bohn;jobline@oshtruck.com
Moody's;250 Greenwich St.;New York;NY;10007;212-553-0300;http://www.moodys.com;clientservices@moodys.com;Raymond W. McDaniel Jr.;None
Quanta Services;1360 Post Oak Blvd.;Houston;TX;77056;713-629-7600;http://www.quantaservices.com;headquarters@quantaservices.com;John R. Colson;None
Lockheed Martin;6801 Rockledge Dr.;West Bethesda;MD;20817;301-897-6000;http://www.lockheedmartin.com;busdev@lmaasa.com;Robert J. Stevens;None
Wyndham Worldwide;7 Sylvan Way;Parsippany;NJ;7054;973-753-6000;http://www.wyndhamworldwide.com;None;Stephen P. Holmes;None
Baldor Electric;5711 R.S. Boreham, Jr. St.;Fort Smith;AR;72901;479-646-4711;http://www.baldor.com;dwmeaden@baldor.com;John A. McFarland;None
Herman Miller;855 E. Main Ave.;Zeeland;MI;49464;616-654-3000;http://www.hermanmiller.com;robert_richardson@hermanmiller.com;Brian C. Walker;None
Gap;2 Folsom St.;San Francisco;CA;94105;650-952-4400;http://www.gapinc.com;custserv@gap.com;Glenn K. Murphy;None
Coca-Cola Enterprises;2500 Windy Ridge Pkwy.;Atlanta;GA;30339;770-989-3000;http://www.cokecce.com;ccemail@cokecce.com.;John F. Brock;j.brock@cokecce.com
Chemtura;199 Benson Road;Middlebury;CT;6749;203-573-2000;http://www.chemtura.com;janet.gilboy@chemtura.com;Robert L. Wood;None
Target;1000 Nicollet Mall;Minneapolis;MN;55403;612-304-6073;http://www.target.com;None;Gregg Steinhafel;Gregg.Steinhafel@target.com
Levi Strauss;1155 Battery St.;San Francisco;CA;94111;415-501-6000;http://www.levistrauss.com;None;R. John Anderson;kerry.clark@cardinal.com
International Assets Holding;220 E. Central Pkwy.;Altamonte Spring;FL;32701;407-741-5300;http://www.intlassets.com;sbranch@intlassets.com;Sean M. O'Connor;SOConnor@intlassets.com
Jo Ann Stores;5555 Darrow Road;Hudson;OH;44236;330-656-2600;http://www.joann.com;customercare@joann.com;Darrell D. Webb;None
Neiman Marcus;1618 Main St.;Dallas;TX;75201;214-743-7600;http://www.neimanmarcus.com;neimanmarcus@customercare.neimanmarcus.com;Burton M. Tansky;None
DynCorp International;3190 Fairview Park Dr.;Mosby;VA;22042;571-722-0210;http://www.dyn-intl.com;inquiry@dyn-intl.com;Herbert J. Lanese;None
W.R. Grace;7500 Grace Dr.;Columbia;MD;21044;410-531-4000;http://www.grace.com;info@grace.com;Alfred E. Festa;None
Western Digital;20511 Lake Forest Dr.;Lake Forest;CA;92630;949-672-7000;http://www.westerndigital.com;westerndigital@custhelp.com;John F. Coyne;None
Tesoro;300 Concord Plaza Dr.;San Antonio;TX;78216;210-828-8484;http://www.tsocorp.com;info@tsocorp.com;Bruce A. Smith;None
Yum Brands;1441 Gardiner Lane;Louisville;KY;40213;502-874-8300;http://www.yum.com;None;David C. Novak;None
Barr Pharmaceuticals;225 Summit Ave.;Montvale;NJ;7645;201-930-3300;http://www.barrlabs.com;CustomerService@barrlabs.com;Bruce L. Downey;None
Seaboard;9000 W. 67th St.;Countryside;KS;66202;913-676-8800;http://www.seaboardcorp.com;seaboard@seaboardcorp.com;Steven J. Bresky;None
Public Storage;701 Western Ave.;Glendale;CA;91201;818-244-8080;http://www.publicstorage.com;websales@PublicStorage.com;Ronald L. Havner Jr.;None
Juniper Networks;1194 N. Mathilda Ave.;Sunnyvale;CA;94089;408-745-2000;http://www.juniper.net;correspondence@cc.juniper.com;Scott G. Kriens;None
